,JPM,XOM,PG,D,VZ,EQR,NEM,AAPL,BA,JNJ,NKE
Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
01/04/2013,35.939846,59.355125,58.059361,39.255398,30.610081,33.976551,33.484234,13.230051,71.897484,62.455975,26.098745
02/04/2013,36.277981,59.230888,59.000885,39.545494,30.784204,33.96431,32.222206,13.2572,70.919167,63.035332,26.385458
03/04/2013,35.423584,58.805843,58.373161,39.633175,30.467043,34.208969,31.121979,13.325059,71.146889,62.562691,26.389931
04/04/2013,35.90749,58.701218,58.687023,40.132401,30.659826,35.181477,31.64782,13.193348,71.644493,62.821899,26.582561
05/04/2013,36.225063,58.204247,58.455399,40.226833,30.821539,35.401672,31.850073,13.053922,72.67337,62.539822,26.416807
08/04/2013,36.731659,57.936153,58.873833,40.523666,31.063475,35.481174,31.558842,13.14677,73.162544,61.830902,26.855818
09/04/2013,36.807259,58.047291,58.477821,40.375256,31.019482,35.66468,32.384014,13.170521,73.550507,62.143425,26.828943
10/04/2013,37.238232,57.988464,59.210087,40.591129,31.333693,35.689133,31.542656,13.439188,74.064926,62.524574,27.008131
11/04/2013,37.283596,58.341572,59.531376,40.469707,31.742182,36.098934,31.267605,13.397236,74.663734,62.753277,27.415787
12/04/2013,37.056774,58.191154,59.837746,40.5574,31.962132,36.141747,29.423092,13.257506,74.967361,63.073429,27.138048
15/04/2013,36.240181,56.556404,59.516457,39.983967,31.823875,35.413906,27.441063,12.950589,73.17942,62.288277,26.730389
16/04/2013,36.663597,56.634876,59.852684,40.355015,31.710758,35.799236,27.327801,13.147696,73.280609,63.607044,27.102205
17/04/2013,35.378216,56.288292,59.075588,40.02446,31.132595,35.27322,26.179035,12.424674,73.111954,63.957729,27.281397
18/04/2013,35.264793,56.641415,59.680813,40.341518,31.993551,35.377205,26.510717,12.09308,72.631226,63.408882,26.958851
19/04/2013,35.710907,57.184139,60.846523,41.198261,32.835659,35.456718,26.680605,12.046194,74.183006,64.407509,27.290342
22/04/2013,35.801632,57.602654,60.824097,41.124062,32.797943,35.230408,27.020384,12.297278,73.3228,64.666679,27.487461
23/04/2013,36.421635,58.393887,61.675926,41.157803,32.879639,35.309914,26.235655,12.527388,74.368561,65.139313,27.630812
24/04/2013,36.837513,58.478882,58.049381,41.232002,32.55286,35.285458,27.772751,12.506719,76.603493,64.331253,27.563618
25/04/2013,37.049213,57.589569,57.642899,40.982395,33.445236,34.985744,27.772751,12.596787,77.311951,64.963959,27.805513
26/04/2013,36.958485,57.543797,58.034286,41.157803,33.702892,34.624874,27.077013,12.868852,78.307129,64.887733,27.724882
29/04/2013,36.988716,57.681126,58.470871,41.292713,33.596058,34.991856,27.481506,13.26738,77.505913,65.238388,28.056389
30/04/2013,37.056774,58.191154,57.785892,41.609779,33.878849,35.511765,26.211401,13.657883,77.092659,64.971581,28.490913
01/05/2013,36.300671,57.223396,57.951477,41.245502,32.929935,34.802254,26.365091,13.550235,76.898682,64.209297,28.3834
02/05/2013,36.353588,57.955769,58.531082,41.225266,33.01162,34.637119,26.421728,13.742404,77.767349,64.918228,28.365482
03/05/2013,35.967983,58.864693,58.854736,41.090332,33.105873,34.264023,26.696787,13.879975,79.057709,65.367996,28.916487
06/05/2013,36.429195,59.230888,58.52356,40.793514,32.709969,34.429157,26.753412,14.210948,79.437241,64.552322,28.652174
07/05/2013,37.15506,59.603615,58.666588,41.103832,33.256702,34.997982,26.251839,14.147712,79.943253,65.200294,28.629786
08/05/2013,37.623848,59.963249,59.042927,40.813747,33.376118,35.187588,27.432968,14.307495,79.718605,65.146942,28.625299
09/05/2013,37.07946,59.936928,58.869816,40.105412,33.124737,35.01022,26.826229,14.182676,80.201813,64.910622,28.553629
10/05/2013,37.018967,59.350899,59.283806,40.307789,33.237858,35.297684,26.793867,14.064686,79.888138,65.37561,29.010557
13/05/2013,37.555813,59.324589,59.15583,40.267307,33.024185,35.92157,26.389366,14.119643,80.328957,65.444206,28.961281
14/05/2013,37.979225,59.989586,59.818222,40.786766,33.413807,36.221256,26.300379,13.78182,81.473389,66.298004,29.525726
15/05/2013,38.629486,60.075195,60.729008,40.92168,33.684048,36.184566,25.539927,13.31576,82.244781,66.808769,29.489883
16/05/2013,38.538742,59.719627,60.367702,40.732792,33.432663,36.459808,25.426666,13.493677,81.871803,66.663902,28.867212
17/05/2013,39.544361,60.417572,60.232231,41.265732,33.526932,36.447563,24.779469,13.452689,83.855423,67.151787,29.261419
20/05/2013,39.536789,60.917984,59.532192,40.982395,33.143593,36.808441,26.114319,13.752946,83.68589,67.090797,29.265905
21/05/2013,40.088757,61.102348,59.313919,40.941929,32.722546,37.15707,25.839252,13.651409,83.711319,67.532944,29.221106
22/05/2013,40.549988,60.700699,59.32896,39.97723,32.345467,36.166206,25.855427,13.703885,83.016205,67.433853,28.871695
23/05/2013,40.338268,60.437325,59.238636,39.768097,32.609428,36.808441,26.065775,13.728415,84.559029,66.980705,28.369967
24/05/2013,40.57267,60.266155,61.632252,38.870872,32.295208,36.881836,25.863518,13.821874,84.770943,66.681168,28.128061
28/05/2013,41.283401,60.825779,60.864498,38.945091,31.936993,36.337467,25.928236,13.70668,84.864197,67.28791,28.347561
29/05/2013,41.336338,60.628246,59.389179,38.499832,31.151463,35.805355,26.777687,13.815663,83.999542,65.782539,28.190775
30/05/2013,42.054634,60.634857,59.532192,38.51334,30.843536,35.120312,27.78084,14.021527,85.228722,66.043694,28.051434
31/05/2013,41.275845,59.568192,57.778362,38.149048,30.466461,34.588188,27.732296,13.964087,83.940216,64.653557,27.714333
03/06/2013,41.200241,60.220051,58.455822,37.474442,30.57958,35.01022,28.217688,13.994823,85.398254,65.060585,28.330111
04/06/2013,40.859993,59.778893,58.237526,37.548641,30.692705,34.949059,27.869827,13.951042,84.440331,64.59211,28.217739
05/06/2013,40.096313,59.02829,57.703079,37.182682,30.353342,34.69828,27.991175,13.820635,83.490936,64.269539,27.754786
06/06/2013,40.451683,59.410194,57.823532,37.686993,31.402834,34.661591,28.27433,13.614148,84.567513,64.868607,27.93907
07/06/2013,41.03389,60.213455,58.52356,37.918713,31.572504,34.67382,27.594772,13.71817,86.881775,65.214233,28.20425
10/06/2013,41.101948,59.996155,58.76442,38.020931,31.754753,34.276264,27.709209,13.627502,86.669838,65.390884,28.334606
11/06/2013,40.444126,59.561623,58.80204,37.707439,31.534798,33.713535,26.818258,13.587447,86.254456,65.045265,27.934582
12/06/2013,40.209728,59.087521,58.410652,37.700626,31.358837,33.487228,27.243296,13.419469,85.516945,64.315613,27.601963
13/06/2013,40.958271,60.134457,59.0354,38.436638,31.823875,34.520912,27.513027,13.536524,86.60202,65.214233,27.759279
14/06/2013,40.171936,59.640636,58.73431,38.191303,32.094101,34.459747,27.128857,13.353023,86.322273,65.214233,27.817711
17/06/2013,40.716339,60.252964,59.434349,38.661526,31.867867,34.502556,27.333206,13.413568,87.339516,65.767204,27.840185
18/06/2013,40.91291,60.52953,59.494556,38.845543,32.395748,34.624874,26.638428,13.406426,88.229614,66.32785,27.934582
19/06/2013,40.489498,59.917152,58.418194,37.986851,31.453102,33.640144,26.07444,13.134119,86.678291,65.175827,27.754786
20/06/2013,39.680462,58.633221,56.641766,36.964603,30.768099,32.598896,24.317074,12.942851,84.465797,63.455406,27.318802
21/06/2013,39.287292,58.916351,58.282681,37.489353,31.120037,33.720238,24.562286,12.839145,84.754013,63.900841,27.224417
24/06/2013,38.500935,58.257935,57.642899,37.618835,30.868658,34.250103,23.720388,12.498836,82.948364,64.983818,26.94574
25/06/2013,39.378014,58.672749,57.72567,38.075451,31.698187,34.749168,23.646824,12.501633,83.643509,65.552162,27.143509
26/06/2013,39.69558,59.127037,58.260105,38.361687,31.836443,35.272858,22.2491,12.360044,85.406731,66.811737,27.799738
27/06/2013,40.18705,59.285072,58.463348,38.491154,32.050121,35.993725,22.649616,12.22684,87.441254,66.596649,28.010988
28/06/2013,39.914848,59.489189,57.951477,38.722874,31.635349,35.771919,24.480545,12.312227,86.839386,65.943871,28.622261
01/07/2013,39.688026,59.456249,58.726791,38.327602,31.647913,35.414574,24.668543,12.706252,87.517555,66.53524,28.01548
02/07/2013,40.213543,59.680119,59.042927,38.423016,31.817593,35.636375,23.842995,12.994084,86.01709,66.489136,28.145828
03/07/2013,40.190685,59.713062,59.140804,38.395744,32.056396,35.389923,23.720388,13.065809,87.220856,66.650444,28.253695
05/07/2013,41.119865,60.292458,58.967644,38.334419,32.238644,35.340641,22.706831,12.960861,88.331329,67.487602,28.604286
08/07/2013,41.660614,60.740204,59.283806,38.763756,32.48304,35.334484,22.085625,12.887273,88.475449,68.040596,28.640247
09/07/2013,41.805321,61.45787,59.893509,39.077248,32.349735,35.716476,22.126493,13.113937,88.73822,68.263336,28.734632
10/07/2013,41.759636,61.115501,60.066612,39.111328,32.083107,35.679497,21.750498,13.063637,89.43338,68.539803,28.586302
11/07/2013,41.995743,61.411793,60.796761,39.908688,32.508434,36.400368,22.984739,13.267323,90.60321,68.870049,28.640247
12/07/2013,41.866261,61.49741,61.383869,40.072247,32.000595,36.123123,22.420753,13.243105,86.356194,69.115868,28.617765
15/07/2013,41.805321,61.398643,61.35376,40.699234,31.714918,36.110783,22.535185,13.271978,89.569,69.43074,28.473938
16/07/2013,41.896725,61.431553,60.947315,40.5084,31.918066,36.190884,23.254478,13.35768,88.356766,69.43074,28.181784
17/07/2013,42.094742,61.536892,60.736485,40.535667,32.210072,36.197041,22.91118,13.361093,88.831497,69.223381,28.464951
18/07/2013,42.932526,62.142651,60.895748,40.999084,31.721281,36.406532,22.935699,13.406115,91.238983,69.254112,28.460455
19/07/2013,42.772591,62.662807,61.707161,40.671955,31.70857,36.190884,23.450651,13.194667,90.671021,70.836273,28.473938
22/07/2013,43.077229,62.438965,61.593399,40.746929,31.911718,36.258656,24.807503,13.236895,90.58625,70.874649,28.446972
23/07/2013,43.161011,62.682571,61.388657,40.794636,31.968849,36.197041,25.453234,13.009609,91.374603,70.982193,28.402023
24/07/2013,43.130543,62.544323,60.872971,40.106316,31.981546,35.389923,24.202639,13.677803,90.662537,70.936104,28.150328
25/07/2013,43.031528,62.531128,60.979176,40.453892,32.191029,35.568592,24.464201,13.615389,90.450615,71.097404,28.0874
26/07/2013,42.688812,62.412617,60.963974,40.562923,32.387829,35.790401,24.832026,13.692708,89.518158,71.297089,28.105371
29/07/2013,42.414635,61.912209,60.736485,40.453892,32.686176,35.599396,24.611326,13.903847,88.848457,71.588943,28.186277
30/07/2013,42.140442,61.767365,61.001907,40.481144,32.006935,35.525478,24.644024,14.075552,89.628349,71.558212,28.249207
31/07/2013,42.445087,61.727871,60.895748,40.419815,31.410223,34.502712,24.521427,14.051024,89.094292,71.811676,28.280663
01/08/2013,43.061996,61.056255,61.911942,40.5084,31.746674,34.293228,24.186293,14.179881,90.450615,72.019058,29.651554
02/08/2013,43.023922,60.542686,61.646511,40.501591,31.899025,33.855782,23.532385,14.361831,91.467857,72.495239,29.799881
05/08/2013,42.726875,60.305622,61.729931,40.617455,31.873627,33.818825,23.279001,14.576389,91.128777,72.042076,29.84482
06/08/2013,42.262306,60.226612,61.987778,40.42662,31.797449,33.726402,21.766846,14.445977,90.738838,72.049736,29.907749
07/08/2013,42.117588,60.141033,62.154594,40.801453,31.695881,33.424511,21.644236,14.437594,90.623886,71.934555,29.498734
08/08/2013,41.759636,60.43074,62.313839,41.087677,31.499094,33.430668,23.524212,14.408842,90.129967,71.688774,29.687517
09/08/2013,41.523529,60.145649,61.911942,41.114948,31.308651,33.399868,24.120897,14.203806,89.695679,70.936104,29.804369
12/08/2013,41.196026,59.595375,61.896751,40.937752,31.518141,32.943935,25.257061,14.607306,88.767456,70.659622,29.894262
13/08/2013,41.348347,59.270519,61.927113,41.060417,31.200735,32.444874,24.586807,15.301482,90.462067,71.435326,29.579626
14/08/2013,41.241734,58.972187,61.616142,40.113132,31.035692,32.38942,26.107138,15.580591,88.699341,69.661163,28.923414
15/08/2013,40.586739,58.448433,61.032223,39.465706,30.813505,31.908854,27.153383,15.562155,87.481598,68.777924,28.536869
16/08/2013,40.586739,58.282688,60.592396,39.145397,30.286606,31.218796,26.466787,15.700293,88.111748,68.639671,28.608784
19/08/2013,39.47477,57.626324,60.357288,39.104523,30.153305,31.083252,26.221573,15.869384,89.176216,69.469139,29.085217
20/08/2013,39.695625,57.566662,60.31179,39.445255,30.413574,31.619278,26.818258,15.660911,89.099571,68.916176,29.049265
21/08/2013,39.322456,57.294834,60.19804,39.043179,30.007307,31.594624,26.025398,15.701241,88.486435,68.201904,28.824528
22/08/2013,39.764183,57.666111,60.49379,39.363483,29.848593,31.945808,26.29513,15.719981,89.533875,67.787132,29.152639
23/08/2013,39.847969,58.024132,60.675819,40.113132,30.223133,32.352463,26.973558,15.659352,89.823395,68.413933,28.860485
26/08/2013,39.451912,57.739044,59.561031,39.758751,29.797812,32.598896,27.210598,15.720301,89.865974,67.732979,28.730135
27/08/2013,38.537979,57.560043,59.128777,39.874615,29.804157,32.605076,26.246088,15.270851,87.890343,66.680595,28.231226
28/08/2013,38.522739,58.899242,58.279423,40.031353,29.556581,32.099846,25.616713,15.343044,87.941422,66.959152,28.482929
29/08/2013,38.614132,57.85836,58.628242,39.888237,30.356443,32.099846,26.01722,15.368058,89.355026,66.990097,28.627237
30/08/2013,38.484665,57.785439,59.068108,39.765572,30.077126,31.970463,25.96818,15.22803,88.494942,66.86628,28.329601
03/09/2013,38.941639,57.778828,58.961929,39.37711,29.207439,31.582308,25.926989,15.270537,89.423149,66.874039,28.992523
04/09/2013,39.505234,58.18322,58.764755,39.654469,29.696238,32.038227,26.050568,15.586525,90.581299,67.245483,29.371328
05/09/2013,39.688026,57.911396,58.49934,39.578758,29.607365,31.878035,24.963064,15.479635,90.819717,67.353813,29.48407
06/09/2013,40.030754,57.845127,58.506901,39.592525,29.416931,32.678993,25.070168,15.571838,90.325829,67.446655,29.303686
09/09/2013,40.259247,58.36887,59.272869,39.929749,29.143969,33.387535,25.028978,15.820312,91.279587,67.75621,29.493082
10/09/2013,40.876148,58.223015,59.11359,40.198151,29.499453,33.516926,24.056824,15.459941,92.114128,68.506798,30.133457
11/09/2013,40.563885,58.899242,59.356289,40.335781,29.531193,33.831139,24.271019,14.618251,93.016785,69.048485,30.480703
12/09/2013,39.787045,58.329079,59.348705,41.140991,30.058079,33.714088,23.257669,14.773898,93.502167,68.878235,30.701675
13/09/2013,40.0536,58.607533,59.947796,42.173298,30.318357,33.633972,23.232952,14.530422,94.805092,68.53775,30.625006
16/09/2013,40.472488,58.786541,60.789562,42.056297,30.661148,33.769531,23.17528,14.068474,98.500893,68.8937,30.751291
17/09/2013,40.434414,58.965549,60.53931,42.49675,30.832548,33.609337,23.49659,14.230997,99.727142,68.916924,30.8099
18/09/2013,40.678123,59.389858,60.895748,43.625412,30.927767,34.804615,25.432671,14.523546,100.825668,69.574677,31.333027
19/09/2013,40.175461,59.190998,60.759228,43.50153,30.794455,34.941116,24.534662,14.761709,101.370667,69.698494,31.342037
20/09/2013,40.213543,58.779915,60.205635,42.85461,30.331047,34.810822,23.125851,14.608876,99.318382,69.396675,31.283415
23/09/2013,39.192978,58.176605,60.122223,43.109245,30.458012,34.239944,22.969315,15.334926,100.067764,68.940132,31.10754
24/09/2013,38.32473,57.918053,59.621681,42.978504,30.007307,33.687679,23.068178,15.286791,101.336609,68.266922,31.31048
25/09/2013,39.375763,57.772198,58.939175,42.957855,29.804157,33.855225,23.323576,15.050188,100.919334,67.38475,31.080488
26/09/2013,39.52047,57.72578,59.189449,43.226254,30.261213,33.923485,23.208233,15.196774,101.660187,67.377007,31.720861
27/09/2013,39.787045,57.613068,58.552422,42.964741,29.835911,33.849014,23.051702,15.088327,101.115189,67.113907,33.209034
30/09/2013,39.36816,57.042892,57.323895,42.999146,29.626415,33.240929,23.150568,14.900791,100.05925,67.082954,32.75808
01/10/2013,39.573776,57.016396,57.756149,43.019791,29.829546,33.7001,22.417328,15.251162,100.272141,67.686531,32.658863
02/10/2013,39.965069,57.069424,57.581718,42.902794,29.702583,33.557381,22.680969,15.301166,100.34877,67.547264,32.419853
03/10/2013,39.849987,56.684887,57.513493,42.641277,29.842249,32.80035,22.211365,15.108951,98.13472,66.997849,32.307106
04/10/2013,40.410065,57.22855,57.649967,42.820213,29.899385,32.657635,22.079538,15.097072,99.803772,67.562729,32.532578
07/10/2013,39.765579,56.950096,57.3694,42.427925,30.019997,32.887226,22.384377,15.2446,99.369492,67.005592,32.171818
08/10/2013,39.029057,56.691517,57.885078,42.40041,29.564169,32.378403,21.708807,15.031753,98.305008,66.247238,31.693794
09/10/2013,38.93697,56.459496,58.355259,42.331577,29.660475,32.403225,21.832388,15.208343,97.478996,66.518082,31.968887
10/10/2013,40.294971,57.042892,59.068108,43.074848,30.084185,33.222301,21.667608,15.303662,101.25145,67.926437,33.118839
11/10/2013,40.2873,57.646214,59.515553,43.322598,30.231863,33.334,21.107386,15.402751,100.468018,69.218719,33.127872
14/10/2013,40.440742,58.07716,59.712696,43.088608,30.052097,33.278152,21.206249,15.503705,101.728325,69.489571,33.398449
15/10/2013,40.133854,57.540127,58.848186,42.531162,29.737516,33.271942,21.50284,15.586211,100.638336,69.590164,33.240601
16/10/2013,41.430473,57.884899,59.873825,43.47401,30.334578,33.985538,21.32159,15.662163,102.477707,70.503304,33.605892
17/10/2013,41.591587,57.997608,60.699253,43.941986,31.393887,34.500557,22.293751,15.768114,104.13826,71.168777,33.614902
18/10/2013,41.660641,58.043999,60.691639,43.824989,32.106506,34.258549,22.178408,15.905327,104.334122,70.90564,34.241745
21/10/2013,41.637623,57.831852,60.35535,43.783691,32.472431,34.159283,22.656258,16.295082,103.439972,70.572929,34.313904
22/10/2013,41.13892,58.329079,61.432972,44.286087,32.831963,34.419891,23.447161,16.24851,104.300064,71.470558,34.25528
23/10/2013,40.471455,58.083782,61.838062,44.203514,32.626514,34.469536,22.483236,16.407591,109.869316,71.269379,34.074883
24/10/2013,40.26429,58.620808,61.608753,44.155338,32.369717,33.396046,22.779833,16.624815,109.835251,71.46283,34.052334
25/10/2013,40.48679,58.322441,61.142574,44.499439,32.555904,34.072411,22.928125,16.43885,111.717216,71.261604,34.138012
28/10/2013,40.417721,58.494827,62.13612,44.279205,32.466015,33.737331,23.134089,16.561369,110.601662,71.493767,34.052334
29/10/2013,40.456104,58.95892,63.022701,44.526955,32.79987,33.414665,22.779833,16.148798,110.41433,72.074135,34.232727
30/10/2013,40.356354,58.879379,62.304264,44.065857,32.440342,32.980309,23.101143,16.405718,110.431351,71.803329,34.331947
31/10/2013,39.543095,59.416378,61.715755,43.873177,32.427502,32.490093,22.458521,16.33695,111.129631,71.664024,34.165096
01/11/2013,40.2873,59.548965,62.021473,44.107151,32.414658,32.825169,21.403976,16.253504,113.284111,72.252121,34.300365
04/11/2013,39.926704,61.060547,62.159058,44.038334,32.793438,33.11681,22.516195,16.463537,113.079704,71.989014,34.440166
05/11/2013,39.857658,60.987629,62.235481,44.437504,32.164284,32.614189,22.532671,16.422911,113.743942,71.818787,34.814461
06/11/2013,39.97274,61.80312,63.290188,45.442272,32.491703,32.67625,23.002268,16.376392,113.748199,71.996742,34.616043
07/11/2013,39.62748,61.382587,62.915699,44.967411,32.209225,32.545944,22.532671,16.111364,112.397842,71.725922,34.138012
08/11/2013,41.399792,61.896545,63.060913,45.015587,32.228485,32.080563,22.713923,16.365063,114.090103,72.778305,34.7784
11/11/2013,41.507195,62.050087,62.869839,45.339039,32.074394,32.04953,22.722157,16.317596,113.269623,72.964035,34.796432
12/11/2013,41.407463,61.856506,63.282528,45.180759,32.202801,31.826151,22.227842,16.347776,113.098663,72.399139,34.665657
13/11/2013,41.537891,61.803112,63.81752,45.648739,32.093655,31.987482,22.491474,16.36727,113.816589,72.228897,35.107597
14/11/2013,41.737373,62.223629,64.444244,46.151131,32.273422,32.310154,23.125851,16.603983,115.457565,72.677727,35.463852
15/11/2013,42.097969,63.591976,64.841682,46.467701,32.299091,31.88199,22.895172,16.504332,116.303719,73.04142,35.725422
18/11/2013,42.765457,63.712151,64.635338,46.660408,32.587997,31.782713,22.277275,16.304388,118.252327,72.971779,35.43681
19/11/2013,43.080029,63.692116,64.459526,46.605347,32.600845,31.677225,22.532671,16.333315,117.072899,73.405136,35.089561
20/11/2013,43.041649,63.19817,64.727013,45.855209,32.356892,31.422815,21.741762,16.190266,113.201233,73.629539,35.103088
21/11/2013,43.900967,63.204849,64.711754,45.930904,32.34404,31.54071,21.305115,16.383289,113.611481,73.668221,35.215816
22/11/2013,44.085098,63.418427,64.925758,45.848316,32.24131,31.54071,21.206249,16.341173,116.209656,74.221497,35.567581
25/11/2013,44.230869,63.471828,65.277306,45.662498,32.106506,31.397987,21.033239,16.465034,113.671303,74.517578,35.684837
26/11/2013,43.862606,62.924496,64.688835,45.35281,32.132175,31.577934,20.365911,16.768721,115.192657,74.073418,35.89679
27/11/2013,44.10043,62.610775,64.413681,44.767845,32.055138,32.272915,20.283524,17.16358,115.141319,74.011078,35.775021
29/11/2013,43.900967,62.39719,64.367821,44.671497,31.856121,31.981276,20.45653,17.481413,114.739655,73.761726,35.68935
02/12/2013,43.71682,62.423897,63.695248,44.25856,31.624992,32.055744,19.632666,17.329252,114.662727,73.465614,35.666798
03/12/2013,43.624763,63.004593,64.06974,44.588905,31.843283,32.272915,19.424965,17.80364,112.816628,73.224083,35.684837
04/12/2013,43.877949,63.19149,63.702888,44.521561,31.695618,32.843796,19.84038,17.762144,112.38932,72.959129,35.545029
05/12/2013,42.826836,62.831047,63.198483,44.04948,31.400291,32.651436,19.275414,17.853313,113.440552,72.444832,35.603657
